temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
5.78,88,1030,100,1706832000,4.7,232,2024-02-02 01:00:00,Amsterdam,872680,-2,20000000
6.44,84,1029,100,1706835600,5.67,234,2024-02-02 02:00:00,Amsterdam,872680,-2,20000000
6.57,81,1029,100,1706839200,6.29,235,2024-02-02 03:00:00,Amsterdam,872680,-2,20000000
6.45,80,1027,100,1706842800,6.64,234,2024-02-02 04:00:00,Amsterdam,872680,-2,20000000
6.59,79,1027,100,1706846400,6.84,241,2024-02-02 05:00:00,Amsterdam,872680,-2,20000000
6.44,79,1027,98,1706850000,6.71,243,2024-02-02 06:00:00,Amsterdam,872680,-2,20000000
6.29,81,1027,6,1706853600,6.52,243,2024-02-02 07:00:00,Amsterdam,872680,-2,20000000
6.29,85,1026,19,1706857200,6.39,243,2024-02-02 08:00:00,Amsterdam,872680,-2,20000000
6.48,87,1026,28,1706860800,6.37,241,2024-02-02 09:00:00,Amsterdam,872680,-2,20000000
7.29,87,1026,24,1706864400,6.58,239,2024-02-02 10:00:00,Amsterdam,872680,-2,20000000
8.36,84,1026,22,1706868000,6.9,242,2024-02-02 11:00:00,Amsterdam,872680,-2,20000000
8.72,86,1024,75,1706871600,8.23,240,2024-02-02 12:00:00,Amsterdam,872680,-2,20000000
8.32,89,1024,100,1706875200,9.77,240,2024-02-02 13:00:00,Amsterdam,872680,-2,20000000
8.19,89,1023,75,1706878800,8.94,244,2024-02-02 14:00:00,Amsterdam,872680,-2,20000000
8.78,87,1023,75,1706882400,8.75,240,2024-02-02 15:00:00,Amsterdam,872680,-2,20000000
8.79,89,1022,100,1706886000,9.83,223,2024-02-02 16:00:00,Amsterdam,872680,-2,20000000
8.94,90,1022,100,1706889600,12.07,243,2024-02-02 17:00:00,Amsterdam,872680,-2,20000000
8.98,89,1023,75,1706893200,10.73,235,2024-02-02 18:00:00,Amsterdam,872680,-2,20000000
8.88,90,1023,75,1706896800,9.83,236,2024-02-02 19:00:00,Amsterdam,872680,-2,20000000
8.88,90,1023,75,1706900400,10.28,244,2024-02-02 20:00:00,Amsterdam,872680,-2,20000000
8.88,91,1023,75,1706904000,8.94,231,2024-02-02 21:00:00,Amsterdam,872680,-2,20000000
9.12,92,1023,100,1706907600,9.26,240,2024-02-02 22:00:00,Amsterdam,872680,-2,20000000
9.39,91,1023,75,1706911200,8.75,240,2024-02-02 23:00:00,Amsterdam,872680,-2,20000000
9.59,88,1023,40,1706914800,7.72,240,2024-02-03 00:00:00,Amsterdam,872680,-2,20000000
10.14,86,1023,75,1706918400,9.83,231,2024-02-03 01:00:00,Amsterdam,872680,-2,20000000
10.42,85,1022,75,1706922000,10.29,250,2024-02-03 02:00:00,Amsterdam,872680,-2,20000000
10.28,87,1022,75,1706925600,9.77,250,2024-02-03 03:00:00,Amsterdam,872680,-2,20000000
10.12,87,1022,75,1706929200,9.26,250,2024-02-03 04:00:00,Amsterdam,872680,-2,20000000
10.08,87,1021,75,1706932800,7.72,250,2024-02-03 05:00:00,Amsterdam,872680,-2,20000000
10.01,88,1022,75,1706936400,8.75,250,2024-02-03 06:00:00,Amsterdam,872680,-2,20000000
