temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
5.85,48,1023,2,1706832000,1.44,337,2024-02-02 01:00:00,Athens,664046,170,5000000
5.69,47,1022,2,1706835600,1.62,348,2024-02-02 02:00:00,Athens,664046,170,5000000
5.46,46,1022,6,1706839200,1.47,351,2024-02-02 03:00:00,Athens,664046,170,5000000
5.36,46,1022,20,1706842800,1.41,351,2024-02-02 04:00:00,Athens,664046,170,5000000
5.26,45,1022,20,1706846400,1.23,360,2024-02-02 05:00:00,Athens,664046,170,5000000
5.22,44,1022,18,1706850000,1.34,3,2024-02-02 06:00:00,Athens,664046,170,5000000
5.93,44,1022,5,1706853600,1.48,4,2024-02-02 07:00:00,Athens,664046,170,5000000
8.53,39,1023,15,1706857200,1.48,9,2024-02-02 08:00:00,Athens,664046,170,5000000
10.1,32,1023,12,1706860800,0.87,5,2024-02-02 09:00:00,Athens,664046,170,5000000
11.28,30,1023,11,1706864400,0.56,328,2024-02-02 10:00:00,Athens,664046,170,5000000
12.26,29,1023,9,1706868000,0.64,312,2024-02-02 11:00:00,Athens,664046,170,5000000
14.97,32,1021,8,1706871600,2.24,329,2024-02-02 12:00:00,Athens,664046,170,5000000
14.91,36,1020,56,1706875200,2.24,198,2024-02-02 13:00:00,Athens,664046,170,5000000
15.25,35,1020,83,1706878800,2.68,360,2024-02-02 14:00:00,Athens,664046,170,5000000
14.99,37,1020,89,1706882400,6.26,331,2024-02-02 15:00:00,Athens,664046,170,5000000
13.62,45,1020,93,1706886000,4.02,355,2024-02-02 16:00:00,Athens,664046,170,5000000
11.83,56,1020,95,1706889600,3.13,9,2024-02-02 17:00:00,Athens,664046,170,5000000
11.35,61,1021,96,1706893200,2.24,18,2024-02-02 18:00:00,Athens,664046,170,5000000
10.93,62,1022,100,1706896800,3.58,81,2024-02-02 19:00:00,Athens,664046,170,5000000
10.98,62,1022,100,1706900400,1.79,54,2024-02-02 20:00:00,Athens,664046,170,5000000
10.68,64,1022,100,1706904000,1.34,355,2024-02-02 21:00:00,Athens,664046,170,5000000
10.44,66,1023,100,1706907600,2.68,86,2024-02-02 22:00:00,Athens,664046,170,5000000
9.96,71,1023,100,1706911200,1.79,84,2024-02-02 23:00:00,Athens,664046,170,5000000
9.31,74,1023,99,1706914800,1.34,0,2024-02-03 00:00:00,Athens,664046,170,5000000
9.45,74,1023,73,1706918400,1.79,87,2024-02-03 01:00:00,Athens,664046,170,5000000
9.71,72,1023,92,1706922000,1.79,42,2024-02-03 02:00:00,Athens,664046,170,5000000
9.44,72,1023,95,1706925600,1.79,116,2024-02-03 03:00:00,Athens,664046,170,5000000
9.19,72,1023,97,1706929200,1.79,52,2024-02-03 04:00:00,Athens,664046,170,5000000
8.94,72,1023,79,1706932800,1.34,350,2024-02-03 05:00:00,Athens,664046,170,5000000
8.91,72,1023,67,1706936400,1.79,17,2024-02-03 06:00:00,Athens,664046,170,5000000
8.83,71,1024,89,1706940000,2.24,38,2024-02-03 07:00:00,Athens,664046,170,5000000
8.93,68,1024,87,1706943600,1.34,25,2024-02-03 08:00:00,Athens,664046,170,5000000
10.65,63,1024,92,1706947200,1.34,33,2024-02-03 09:00:00,Athens,664046,170,5000000
