temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
4.83,81,1027,100,1706832000,5.86,273,2024-02-02 01:00:00,Berlin,3769495,34,4000000
4.71,81,1027,100,1706835600,5.95,274,2024-02-02 02:00:00,Berlin,3769495,34,4000000
4.26,85,1027,100,1706839200,5.92,273,2024-02-02 03:00:00,Berlin,3769495,34,4000000
3.99,88,1026,98,1706842800,5.28,268,2024-02-02 04:00:00,Berlin,3769495,34,4000000
4.06,89,1026,99,1706846400,5.05,265,2024-02-02 05:00:00,Berlin,3769495,34,4000000
4.06,87,1026,99,1706850000,4.88,264,2024-02-02 06:00:00,Berlin,3769495,34,4000000
4.0,88,1026,100,1706853600,5.22,258,2024-02-02 07:00:00,Berlin,3769495,34,4000000
3.92,87,1026,100,1706857200,5.17,255,2024-02-02 08:00:00,Berlin,3769495,34,4000000
4.31,84,1025,100,1706860800,5.22,253,2024-02-02 09:00:00,Berlin,3769495,34,4000000
3.64,93,1025,100,1706864400,5.53,248,2024-02-02 10:00:00,Berlin,3769495,34,4000000
3.56,95,1025,100,1706868000,5.52,240,2024-02-02 11:00:00,Berlin,3769495,34,4000000
6.72,79,1008,100,1706871600,8.05,233,2024-02-02 12:00:00,Berlin,3769495,34,4000000
7.26,76,1007,100,1706875200,7.6,222,2024-02-02 13:00:00,Berlin,3769495,34,4000000
7.12,76,1006,100,1706878800,9.39,235,2024-02-02 14:00:00,Berlin,3769495,34,4000000
7.26,75,1005,100,1706882400,7.6,258,2024-02-02 15:00:00,Berlin,3769495,34,4000000
7.49,76,1005,100,1706886000,7.15,243,2024-02-02 16:00:00,Berlin,3769495,34,4000000
7.63,77,1004,100,1706889600,7.15,230,2024-02-02 17:00:00,Berlin,3769495,34,4000000
7.69,81,1003,100,1706893200,6.26,260,2024-02-02 18:00:00,Berlin,3769495,34,4000000
7.51,87,1003,100,1706896800,8.94,255,2024-02-02 19:00:00,Berlin,3769495,34,4000000
7.88,87,1003,100,1706900400,10.73,259,2024-02-02 20:00:00,Berlin,3769495,34,4000000
7.9,87,1003,100,1706904000,11.18,260,2024-02-02 21:00:00,Berlin,3769495,34,4000000
8.03,88,1003,100,1706907600,8.05,269,2024-02-02 22:00:00,Berlin,3769495,34,4000000
8.19,89,1003,100,1706911200,8.94,267,2024-02-02 23:00:00,Berlin,3769495,34,4000000
8.09,92,1000,100,1706914800,8.94,259,2024-02-03 00:00:00,Berlin,3769495,34,4000000
8.29,92,1000,100,1706918400,8.05,252,2024-02-03 01:00:00,Berlin,3769495,34,4000000
8.3,92,999,100,1706922000,8.94,274,2024-02-03 02:00:00,Berlin,3769495,34,4000000
8.68,91,999,100,1706925600,11.18,275,2024-02-03 03:00:00,Berlin,3769495,34,4000000
9.21,89,999,100,1706929200,9.39,277,2024-02-03 04:00:00,Berlin,3769495,34,4000000
9.42,88,1001,100,1706932800,8.94,274,2024-02-03 05:00:00,Berlin,3769495,34,4000000
9.8,88,1001,100,1706936400,8.05,268,2024-02-03 06:00:00,Berlin,3769495,34,4000000
9.95,88,1002,100,1706940000,8.49,252,2024-02-03 07:00:00,Berlin,3769495,34,4000000
9.95,89,1002,100,1706943600,8.49,266,2024-02-03 08:00:00,Berlin,3769495,34,4000000
9.83,91,1002,100,1706947200,8.94,263,2024-02-03 09:00:00,Berlin,3769495,34,4000000
9.69,93,998,100,1706950800,10.73,254,2024-02-03 10:00:00,Berlin,3769495,34,4000000
9.83,93,997,100,1706954400,9.83,258,2024-02-03 11:00:00,Berlin,3769495,34,4000000
10.29,92,998,100,1706958000,11.18,254,2024-02-03 12:00:00,Berlin,3769495,34,4000000
10.78,90,998,100,1706961600,9.83,253,2024-02-03 13:00:00,Berlin,3769495,34,4000000
10.79,91,997,100,1706965200,11.18,254,2024-02-03 14:00:00,Berlin,3769495,34,4000000
10.64,92,997,100,1706968800,8.94,258,2024-02-03 15:00:00,Berlin,3769495,34,4000000
10.21,93,997,100,1706972400,8.49,268,2024-02-03 16:00:00,Berlin,3769495,34,4000000
9.74,90,1000,100,1706976000,9.39,259,2024-02-03 17:00:00,Berlin,3769495,34,4000000
9.66,94,997,98,1706979600,6.26,241,2024-02-03 18:00:00,Berlin,3769495,34,4000000
9.62,89,1000,100,1706983200,7.6,263,2024-02-03 19:00:00,Berlin,3769495,34,4000000
9.42,89,1000,100,1706986800,5.36,244,2024-02-03 20:00:00,Berlin,3769495,34,4000000
8.79,89,1000,100,1706990400,6.26,298,2024-02-03 21:00:00,Berlin,3769495,34,4000000
8.49,85,1000,100,1706994000,5.81,288,2024-02-03 22:00:00,Berlin,3769495,34,4000000
8.09,86,1000,100,1706997600,6.26,277,2024-02-03 23:00:00,Berlin,3769495,34,4000000
7.54,87,996,99,1707001200,4.92,270,2024-02-04 00:00:00,Berlin,3769495,34,4000000
7.45,85,996,100,1707004800,7.6,274,2024-02-04 01:00:00,Berlin,3769495,34,4000000
