temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
5.61,65,1033,62,1706832000,4.14,246,2024-02-02 01:00:00,London,8982256,15,20000000
5.6,68,1032,57,1706835600,4.2,246,2024-02-02 02:00:00,London,8982256,15,20000000
5.71,73,1031,68,1706839200,4.19,247,2024-02-02 03:00:00,London,8982256,15,20000000
5.91,78,1031,78,1706842800,4.21,247,2024-02-02 04:00:00,London,8982256,15,20000000
6.14,84,1031,81,1706846400,4.16,248,2024-02-02 05:00:00,London,8982256,15,20000000
6.36,90,1030,67,1706850000,4.12,245,2024-02-02 06:00:00,London,8982256,15,20000000
6.7,91,1030,9,1706853600,4.58,246,2024-02-02 07:00:00,London,8982256,15,20000000
6.79,93,1030,16,1706857200,4.69,245,2024-02-02 08:00:00,London,8982256,15,20000000
6.82,96,1030,26,1706860800,4.73,247,2024-02-02 09:00:00,London,8982256,15,20000000
8.12,93,1030,51,1706864400,4.9,250,2024-02-02 10:00:00,London,8982256,15,20000000
9.74,85,1030,63,1706868000,5.69,258,2024-02-02 11:00:00,London,8982256,15,20000000
10.57,89,1029,100,1706871600,5.81,286,2024-02-02 12:00:00,London,8982256,15,20000000
12.17,83,1028,75,1706875200,6.17,250,2024-02-02 13:00:00,London,8982256,15,20000000
13.01,80,1028,100,1706878800,5.36,294,2024-02-02 14:00:00,London,8982256,15,20000000
12.73,79,1027,100,1706882400,8.75,260,2024-02-02 15:00:00,London,8982256,15,20000000
13.34,78,1027,93,1706886000,8.23,240,2024-02-02 16:00:00,London,8982256,15,20000000
12.52,80,1027,95,1706889600,8.75,250,2024-02-02 17:00:00,London,8982256,15,20000000
12.02,82,1027,40,1706893200,8.23,250,2024-02-02 18:00:00,London,8982256,15,20000000
11.78,83,1028,100,1706896800,7.2,250,2024-02-02 19:00:00,London,8982256,15,20000000
11.77,84,1028,100,1706900400,6.17,260,2024-02-02 20:00:00,London,8982256,15,20000000
11.85,84,1028,100,1706904000,9.77,260,2024-02-02 21:00:00,London,8982256,15,20000000
11.74,84,1027,100,1706907600,7.72,260,2024-02-02 22:00:00,London,8982256,15,20000000
11.47,86,1027,100,1706911200,6.17,250,2024-02-02 23:00:00,London,8982256,15,20000000
