temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
10.48,53,1033,5,1706832000,1.71,33,2024-02-02 01:00:00,Madrid,3223334,667,3000000
10.0,55,1032,7,1706835600,1.58,35,2024-02-02 02:00:00,Madrid,3223334,667,3000000
9.67,56,1032,8,1706839200,1.71,32,2024-02-02 03:00:00,Madrid,3223334,667,3000000
9.38,56,1032,39,1706842800,1.4,28,2024-02-02 04:00:00,Madrid,3223334,667,3000000
9.11,56,1031,54,1706846400,1.03,36,2024-02-02 05:00:00,Madrid,3223334,667,3000000
8.79,57,1031,63,1706850000,0.9,57,2024-02-02 06:00:00,Madrid,3223334,667,3000000
8.52,59,1032,93,1706853600,1.34,42,2024-02-02 07:00:00,Madrid,3223334,667,3000000
8.29,59,1032,95,1706857200,1.53,44,2024-02-02 08:00:00,Madrid,3223334,667,3000000
8.33,59,1033,80,1706860800,1.61,51,2024-02-02 09:00:00,Madrid,3223334,667,3000000
9.58,55,1033,65,1706864400,1.74,50,2024-02-02 10:00:00,Madrid,3223334,667,3000000
11.12,49,1033,54,1706868000,2.17,54,2024-02-02 11:00:00,Madrid,3223334,667,3000000
12.63,61,1032,0,1706871600,6.17,40,2024-02-02 12:00:00,Madrid,3223334,667,3000000
13.91,59,1031,0,1706875200,6.69,50,2024-02-02 13:00:00,Madrid,3223334,667,3000000
14.37,57,1030,0,1706878800,4.63,50,2024-02-02 14:00:00,Madrid,3223334,667,3000000
14.96,55,1030,0,1706882400,3.09,40,2024-02-02 15:00:00,Madrid,3223334,667,3000000
15.3,51,1030,0,1706886000,3.09,30,2024-02-02 16:00:00,Madrid,3223334,667,3000000
15.19,51,1029,0,1706889600,4.12,90,2024-02-02 17:00:00,Madrid,3223334,667,3000000
14.56,50,1030,0,1706893200,3.09,90,2024-02-02 18:00:00,Madrid,3223334,667,3000000
13.26,56,1030,0,1706896800,1.03,50,2024-02-02 19:00:00,Madrid,3223334,667,3000000
12.47,59,1030,0,1706900400,1.54,360,2024-02-02 20:00:00,Madrid,3223334,667,3000000
12.25,61,1030,0,1706904000,1.54,20,2024-02-02 21:00:00,Madrid,3223334,667,3000000
11.74,63,1031,0,1706907600,1.54,10,2024-02-02 22:00:00,Madrid,3223334,667,3000000
10.95,66,1031,0,1706911200,1.54,10,2024-02-02 23:00:00,Madrid,3223334,667,3000000
9.68,72,1031,0,1706914800,1.79,53,2024-02-03 00:00:00,Madrid,3223334,667,3000000
9.11,73,1031,0,1706918400,1.54,50,2024-02-03 01:00:00,Madrid,3223334,667,3000000
8.43,76,1031,0,1706922000,2.57,20,2024-02-03 02:00:00,Madrid,3223334,667,3000000
8.07,78,1031,0,1706925600,2.57,30,2024-02-03 03:00:00,Madrid,3223334,667,3000000
7.65,79,1031,0,1706929200,2.06,30,2024-02-03 04:00:00,Madrid,3223334,667,3000000
7.43,79,1031,0,1706932800,2.06,40,2024-02-03 05:00:00,Madrid,3223334,667,3000000
6.83,82,1031,0,1706936400,1.54,60,2024-02-03 06:00:00,Madrid,3223334,667,3000000
6.38,82,1031,0,1706940000,2.06,30,2024-02-03 07:00:00,Madrid,3223334,667,3000000
6.09,82,1031,0,1706943600,2.57,10,2024-02-03 08:00:00,Madrid,3223334,667,3000000
6.29,82,1031,0,1706947200,2.57,10,2024-02-03 09:00:00,Madrid,3223334,667,3000000
7.93,78,1032,0,1706950800,2.24,28,2024-02-03 10:00:00,Madrid,3223334,667,3000000
9.41,72,1032,0,1706954400,2.06,70,2024-02-03 11:00:00,Madrid,3223334,667,3000000
11.87,63,1032,0,1706958000,3.6,50,2024-02-03 12:00:00,Madrid,3223334,667,3000000
13.37,54,1032,0,1706961600,3.09,50,2024-02-03 13:00:00,Madrid,3223334,667,3000000
14.54,49,1031,0,1706965200,3.09,80,2024-02-03 14:00:00,Madrid,3223334,667,3000000
15.45,46,1031,0,1706968800,2.57,100,2024-02-03 15:00:00,Madrid,3223334,667,3000000
16.03,42,1030,0,1706972400,2.57,90,2024-02-03 16:00:00,Madrid,3223334,667,3000000
16.02,41,1030,0,1706976000,2.06,110,2024-02-03 17:00:00,Madrid,3223334,667,3000000
15.62,42,1030,0,1706979600,1.54,100,2024-02-03 18:00:00,Madrid,3223334,667,3000000
13.89,49,1031,0,1706983200,1.54,330,2024-02-03 19:00:00,Madrid,3223334,667,3000000
12.58,54,1031,0,1706986800,1.54,330,2024-02-03 20:00:00,Madrid,3223334,667,3000000
12.05,56,1031,0,1706990400,1.54,350,2024-02-03 21:00:00,Madrid,3223334,667,3000000
10.87,60,1031,0,1706994000,3.09,330,2024-02-03 22:00:00,Madrid,3223334,667,3000000
10.13,62,1031,0,1706997600,2.57,360,2024-02-03 23:00:00,Madrid,3223334,667,3000000
9.31,64,1031,0,1707001200,1.54,30,2024-02-04 00:00:00,Madrid,3223334,667,3000000
8.1,67,1031,0,1707004800,1.54,340,2024-02-04 01:00:00,Madrid,3223334,667,3000000
7.58,68,1031,0,1707008400,1.54,330,2024-02-04 02:00:00,Madrid,3223334,667,3000000
7.25,71,1031,0,1707012000,1.54,340,2024-02-04 03:00:00,Madrid,3223334,667,3000000
6.83,70,1031,0,1707015600,1.54,10,2024-02-04 04:00:00,Madrid,3223334,667,3000000
6.48,71,1031,0,1707019200,1.79,22,2024-02-04 05:00:00,Madrid,3223334,667,3000000
6.37,70,1031,0,1707022800,1.03,350,2024-02-04 06:00:00,Madrid,3223334,667,3000000
5.93,69,1030,0,1707026400,1.54,20,2024-02-04 07:00:00,Madrid,3223334,667,3000000
5.71,70,1031,0,1707030000,1.54,10,2024-02-04 08:00:00,Madrid,3223334,667,3000000
5.86,68,1031,0,1707033600,1.03,340,2024-02-04 09:00:00,Madrid,3223334,667,3000000
8.02,60,1031,0,1707037200,0.51,130,2024-02-04 10:00:00,Madrid,3223334,667,3000000
9.12,58,1032,0,1707040800,1.03,0,2024-02-04 11:00:00,Madrid,3223334,667,3000000
11.73,51,1032,0,1707044400,1.54,60,2024-02-04 12:00:00,Madrid,3223334,667,3000000
13.96,45,1031,0,1707048000,0.89,231,2024-02-04 13:00:00,Madrid,3223334,667,3000000
15.6,41,1031,0,1707051600,0.89,220,2024-02-04 14:00:00,Madrid,3223334,667,3000000
17.04,36,1030,0,1707055200,1.34,227,2024-02-04 15:00:00,Madrid,3223334,667,3000000
18.09,33,1029,0,1707058800,1.03,0,2024-02-04 16:00:00,Madrid,3223334,667,3000000
17.99,34,1029,0,1707062400,0.89,224,2024-02-04 17:00:00,Madrid,3223334,667,3000000
17.09,36,1029,0,1707066000,2.06,190,2024-02-04 18:00:00,Madrid,3223334,667,3000000
14.87,43,1029,0,1707069600,1.54,240,2024-02-04 19:00:00,Madrid,3223334,667,3000000
13.02,52,1030,0,1707073200,2.06,260,2024-02-04 20:00:00,Madrid,3223334,667,3000000
12.24,54,1030,0,1707076800,1.54,280,2024-02-04 21:00:00,Madrid,3223334,667,3000000
11.32,57,1030,0,1707080400,2.06,350,2024-02-04 22:00:00,Madrid,3223334,667,3000000
10.53,61,1030,0,1707084000,1.54,340,2024-02-04 23:00:00,Madrid,3223334,667,3000000
9.76,63,1030,0,1707087600,1.54,360,2024-02-05 00:00:00,Madrid,3223334,667,3000000
8.49,67,1030,0,1707091200,1.54,340,2024-02-05 01:00:00,Madrid,3223334,667,3000000
7.96,69,1030,0,1707094800,1.34,29,2024-02-05 02:00:00,Madrid,3223334,667,3000000
7.86,68,1030,0,1707098400,0.89,22,2024-02-05 03:00:00,Madrid,3223334,667,3000000
6.85,72,1029,0,1707102000,1.54,330,2024-02-05 04:00:00,Madrid,3223334,667,3000000
5.9,75,1029,0,1707105600,1.03,340,2024-02-05 05:00:00,Madrid,3223334,667,3000000
6.06,72,1029,0,1707109200,1.03,330,2024-02-05 06:00:00,Madrid,3223334,667,3000000
5.63,76,1029,0,1707112800,1.03,30,2024-02-05 07:00:00,Madrid,3223334,667,3000000
5.67,73,1029,0,1707116400,1.54,30,2024-02-05 08:00:00,Madrid,3223334,667,3000000
6.68,71,1029,0,1707120000,1.34,29,2024-02-05 09:00:00,Madrid,3223334,667,3000000
7.44,68,1030,0,1707123600,1.03,110,2024-02-05 10:00:00,Madrid,3223334,667,3000000
9.85,61,1030,0,1707127200,1.03,0,2024-02-05 11:00:00,Madrid,3223334,667,3000000
11.04,59,1030,0,1707130800,1.03,0,2024-02-05 12:00:00,Madrid,3223334,667,3000000
13.0,54,1029,0,1707134400,1.03,0,2024-02-05 13:00:00,Madrid,3223334,667,3000000
14.11,49,1028,0,1707138000,0.89,182,2024-02-05 14:00:00,Madrid,3223334,667,3000000
15.39,44,1027,0,1707141600,1.03,0,2024-02-05 15:00:00,Madrid,3223334,667,3000000
15.92,43,1027,0,1707145200,1.54,260,2024-02-05 16:00:00,Madrid,3223334,667,3000000
15.26,45,1027,0,1707148800,2.06,260,2024-02-05 17:00:00,Madrid,3223334,667,3000000
14.38,49,1026,0,1707152400,2.06,220,2024-02-05 18:00:00,Madrid,3223334,667,3000000
13.2,55,1027,0,1707156000,1.54,200,2024-02-05 19:00:00,Madrid,3223334,667,3000000
12.1,61,1027,0,1707159600,1.03,270,2024-02-05 20:00:00,Madrid,3223334,667,3000000
11.45,65,1027,0,1707163200,1.34,250,2024-02-05 21:00:00,Madrid,3223334,667,3000000
10.62,69,1027,0,1707166800,1.03,0,2024-02-05 22:00:00,Madrid,3223334,667,3000000
10.21,72,1027,0,1707170400,1.03,130,2024-02-05 23:00:00,Madrid,3223334,667,3000000
10.23,72,1027,0,1707174000,1.54,340,2024-02-06 00:00:00,Madrid,3223334,667,3000000
8.89,78,1027,0,1707177600,1.54,330,2024-02-06 01:00:00,Madrid,3223334,667,3000000
8.66,76,1026,0,1707181200,1.03,0,2024-02-06 02:00:00,Madrid,3223334,667,3000000
6.62,82,1026,0,1707184800,2.06,230,2024-02-06 03:00:00,Madrid,3223334,667,3000000
7.26,81,1026,0,1707188400,1.03,0,2024-02-06 04:00:00,Madrid,3223334,667,3000000
7.23,82,1025,0,1707192000,2.06,360,2024-02-06 05:00:00,Madrid,3223334,667,3000000
6.75,81,1025,0,1707195600,1.03,10,2024-02-06 06:00:00,Madrid,3223334,667,3000000
6.67,81,1025,0,1707199200,0.89,48,2024-02-06 07:00:00,Madrid,3223334,667,3000000
6.68,81,1025,0,1707202800,1.03,140,2024-02-06 08:00:00,Madrid,3223334,667,3000000
6.63,83,1026,0,1707206400,1.03,0,2024-02-06 09:00:00,Madrid,3223334,667,3000000
7.56,80,1026,0,1707210000,1.54,120,2024-02-06 10:00:00,Madrid,3223334,667,3000000
8.19,80,1026,0,1707213600,1.54,100,2024-02-06 11:00:00,Madrid,3223334,667,3000000
9.34,74,1026,0,1707217200,1.54,150,2024-02-06 12:00:00,Madrid,3223334,667,3000000
11.22,66,1025,0,1707220800,1.79,193,2024-02-06 13:00:00,Madrid,3223334,667,3000000
12.69,63,1025,0,1707224400,2.57,190,2024-02-06 14:00:00,Madrid,3223334,667,3000000
13.51,63,1024,0,1707228000,3.09,230,2024-02-06 15:00:00,Madrid,3223334,667,3000000
13.9,64,1024,0,1707231600,3.6,230,2024-02-06 16:00:00,Madrid,3223334,667,3000000
13.91,64,1024,0,1707235200,2.68,212,2024-02-06 17:00:00,Madrid,3223334,667,3000000
14.23,64,1024,0,1707238800,3.6,230,2024-02-06 18:00:00,Madrid,3223334,667,3000000
12.97,70,1024,0,1707242400,4.63,230,2024-02-06 19:00:00,Madrid,3223334,667,3000000
11.59,76,1024,0,1707246000,4.12,250,2024-02-06 20:00:00,Madrid,3223334,667,3000000
10.53,81,1024,0,1707249600,4.63,260,2024-02-06 21:00:00,Madrid,3223334,667,3000000
9.58,82,1024,0,1707253200,3.09,260,2024-02-06 22:00:00,Madrid,3223334,667,3000000
