temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
6.74,87,1035,86,1706832000,1.21,282,2024-02-02 01:00:00,Paris,2148327,35,40000000
6.36,89,1035,92,1706835600,1.46,268,2024-02-02 02:00:00,Paris,2148327,35,40000000
6.06,90,1035,96,1706839200,1.65,263,2024-02-02 03:00:00,Paris,2148327,35,40000000
5.75,91,1035,93,1706842800,1.58,261,2024-02-02 04:00:00,Paris,2148327,35,40000000
5.54,92,1035,90,1706846400,1.67,253,2024-02-02 05:00:00,Paris,2148327,35,40000000
5.34,90,1035,81,1706850000,1.66,250,2024-02-02 06:00:00,Paris,2148327,35,40000000
5.07,87,1035,36,1706853600,1.78,239,2024-02-02 07:00:00,Paris,2148327,35,40000000
4.92,86,1035,39,1706857200,1.8,237,2024-02-02 08:00:00,Paris,2148327,35,40000000
5.06,86,1035,23,1706860800,1.81,236,2024-02-02 09:00:00,Paris,2148327,35,40000000
6.2,81,1035,17,1706864400,2.04,236,2024-02-02 10:00:00,Paris,2148327,35,40000000
7.79,71,1036,16,1706868000,2.65,247,2024-02-02 11:00:00,Paris,2148327,35,40000000
6.59,92,1035,100,1706871600,3.6,240,2024-02-02 12:00:00,Paris,2148327,35,40000000
8.08,85,1035,75,1706875200,4.63,240,2024-02-02 13:00:00,Paris,2148327,35,40000000
9.09,83,1034,20,1706878800,4.63,260,2024-02-02 14:00:00,Paris,2148327,35,40000000
10.11,77,1034,75,1706882400,4.63,230,2024-02-02 15:00:00,Paris,2148327,35,40000000
9.62,79,1034,100,1706886000,3.6,230,2024-02-02 16:00:00,Paris,2148327,35,40000000
9.1,82,1034,100,1706889600,4.63,240,2024-02-02 17:00:00,Paris,2148327,35,40000000
8.51,86,1034,75,1706893200,4.63,250,2024-02-02 18:00:00,Paris,2148327,35,40000000
7.73,90,1034,100,1706896800,4.63,230,2024-02-02 19:00:00,Paris,2148327,35,40000000
7.57,90,1034,100,1706900400,4.12,250,2024-02-02 20:00:00,Paris,2148327,35,40000000
7.4,95,1034,100,1706904000,4.12,210,2024-02-02 21:00:00,Paris,2148327,35,40000000
