temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
7.68,75,1026,12,1706832000,1.83,9,2024-02-02 01:00:00,Rome,2870500,21,10000000
7.03,76,1026,12,1706835600,2.1,20,2024-02-02 02:00:00,Rome,2870500,21,10000000
6.58,77,1025,11,1706839200,2.12,19,2024-02-02 03:00:00,Rome,2870500,21,10000000
6.21,77,1025,9,1706842800,2.27,15,2024-02-02 04:00:00,Rome,2870500,21,10000000
5.9,78,1025,11,1706846400,2.26,19,2024-02-02 05:00:00,Rome,2870500,21,10000000
5.67,79,1026,10,1706850000,2.17,17,2024-02-02 06:00:00,Rome,2870500,21,10000000
5.42,79,1026,0,1706853600,2.3,18,2024-02-02 07:00:00,Rome,2870500,21,10000000
5.73,76,1026,0,1706857200,2.1,23,2024-02-02 08:00:00,Rome,2870500,21,10000000
7.75,66,1027,2,1706860800,2.2,29,2024-02-02 09:00:00,Rome,2870500,21,10000000
10.04,55,1027,4,1706864400,1.81,27,2024-02-02 10:00:00,Rome,2870500,21,10000000
12.0,48,1028,20,1706868000,1.57,20,2024-02-02 11:00:00,Rome,2870500,21,10000000
12.69,58,1027,0,1706871600,1.54,340,2024-02-02 12:00:00,Rome,2870500,21,10000000
15.45,47,1026,0,1706875200,1.03,0,2024-02-02 13:00:00,Rome,2870500,21,10000000
17.09,40,1026,0,1706878800,1.03,0,2024-02-02 14:00:00,Rome,2870500,21,10000000
17.27,40,1025,0,1706882400,2.57,220,2024-02-02 15:00:00,Rome,2870500,21,10000000
15.97,48,1026,0,1706886000,4.12,240,2024-02-02 16:00:00,Rome,2870500,21,10000000
14.03,57,1027,0,1706889600,2.57,250,2024-02-02 17:00:00,Rome,2870500,21,10000000
12.2,64,1026,0,1706893200,1.54,210,2024-02-02 18:00:00,Rome,2870500,21,10000000
10.7,65,1028,0,1706896800,2.57,160,2024-02-02 19:00:00,Rome,2870500,21,10000000
9.31,64,1028,0,1706900400,1.03,150,2024-02-02 20:00:00,Rome,2870500,21,10000000
8.24,61,1028,0,1706904000,1.54,120,2024-02-02 21:00:00,Rome,2870500,21,10000000
8.84,52,1029,0,1706907600,1.54,160,2024-02-02 22:00:00,Rome,2870500,21,10000000
