temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
-0.02,68,1008,18,1706832000,5.7,265,2024-02-02 01:00:00,Stockholm,965232,44,2000000
-0.2,65,1009,23,1706835600,5.97,279,2024-02-02 02:00:00,Stockholm,965232,44,2000000
-0.35,63,1009,24,1706839200,6.01,281,2024-02-02 03:00:00,Stockholm,965232,44,2000000
-0.3,61,1009,18,1706842800,5.77,285,2024-02-02 04:00:00,Stockholm,965232,44,2000000
-0.34,63,1010,14,1706846400,5.33,280,2024-02-02 05:00:00,Stockholm,965232,44,2000000
-0.45,67,1010,14,1706850000,4.99,279,2024-02-02 06:00:00,Stockholm,965232,44,2000000
-0.69,74,1010,100,1706853600,4.39,276,2024-02-02 07:00:00,Stockholm,965232,44,2000000
-0.78,78,1009,100,1706857200,3.02,263,2024-02-02 08:00:00,Stockholm,965232,44,2000000
-0.59,81,1009,100,1706860800,2.69,245,2024-02-02 09:00:00,Stockholm,965232,44,2000000
0.15,80,1009,100,1706864400,2.87,229,2024-02-02 10:00:00,Stockholm,965232,44,2000000
0.96,78,1008,100,1706868000,3.38,222,2024-02-02 11:00:00,Stockholm,965232,44,2000000
0.76,80,1004,0,1706871600,2.57,200,2024-02-02 12:00:00,Stockholm,965232,44,2000000
1.68,82,1002,0,1706875200,3.09,190,2024-02-02 13:00:00,Stockholm,965232,44,2000000
2.09,87,1000,75,1706878800,3.6,190,2024-02-02 14:00:00,Stockholm,965232,44,2000000
2.56,90,998,75,1706882400,4.12,180,2024-02-02 15:00:00,Stockholm,965232,44,2000000
2.25,93,996,75,1706886000,4.63,180,2024-02-02 16:00:00,Stockholm,965232,44,2000000
2.55,93,994,75,1706889600,5.14,190,2024-02-02 17:00:00,Stockholm,965232,44,2000000
2.64,94,992,75,1706893200,5.66,190,2024-02-02 18:00:00,Stockholm,965232,44,2000000
2.82,94,991,75,1706896800,5.66,210,2024-02-02 19:00:00,Stockholm,965232,44,2000000
2.98,97,989,100,1706900400,4.12,230,2024-02-02 20:00:00,Stockholm,965232,44,2000000
3.81,95,988,100,1706904000,5.66,240,2024-02-02 21:00:00,Stockholm,965232,44,2000000
4.87,94,987,100,1706907600,5.66,250,2024-02-02 22:00:00,Stockholm,965232,44,2000000
4.94,94,987,99,1706911200,5.14,250,2024-02-02 23:00:00,Stockholm,965232,44,2000000
4.94,91,987,87,1706914800,5.14,260,2024-02-03 00:00:00,Stockholm,965232,44,2000000
5.28,89,987,3,1706918400,5.14,260,2024-02-03 01:00:00,Stockholm,965232,44,2000000
6.01,86,987,40,1706922000,5.14,270,2024-02-03 02:00:00,Stockholm,965232,44,2000000
