temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
5.24,70,1030,27,1706832000,5.21,314,2024-02-02 01:00:00,Vienna,1897491,151,8000000
4.9,72,1030,59,1706835600,5.12,314,2024-02-02 02:00:00,Vienna,1897491,151,8000000
4.67,73,1030,79,1706839200,4.92,310,2024-02-02 03:00:00,Vienna,1897491,151,8000000
4.56,73,1030,85,1706842800,5.15,309,2024-02-02 04:00:00,Vienna,1897491,151,8000000
4.47,72,1030,80,1706846400,5.07,307,2024-02-02 05:00:00,Vienna,1897491,151,8000000
4.44,73,1030,83,1706850000,4.98,307,2024-02-02 06:00:00,Vienna,1897491,151,8000000
4.22,74,1031,45,1706853600,4.35,302,2024-02-02 07:00:00,Vienna,1897491,151,8000000
4.22,75,1031,61,1706857200,4.15,300,2024-02-02 08:00:00,Vienna,1897491,151,8000000
4.93,72,1031,72,1706860800,3.74,296,2024-02-02 09:00:00,Vienna,1897491,151,8000000
5.86,67,1031,70,1706864400,3.75,289,2024-02-02 10:00:00,Vienna,1897491,151,8000000
6.84,60,1031,67,1706868000,4.24,291,2024-02-02 11:00:00,Vienna,1897491,151,8000000
9.17,64,1029,67,1706871600,6.71,299,2024-02-02 12:00:00,Vienna,1897491,151,8000000
9.88,70,1028,45,1706875200,12.07,329,2024-02-02 13:00:00,Vienna,1897491,151,8000000
9.41,71,1027,66,1706878800,11.62,306,2024-02-02 14:00:00,Vienna,1897491,151,8000000
9.64,72,1027,76,1706882400,8.49,331,2024-02-02 15:00:00,Vienna,1897491,151,8000000
8.83,78,1027,84,1706886000,7.15,317,2024-02-02 16:00:00,Vienna,1897491,151,8000000
8.39,84,1026,88,1706889600,11.18,307,2024-02-02 17:00:00,Vienna,1897491,151,8000000
8.57,84,1025,90,1706893200,7.15,305,2024-02-02 18:00:00,Vienna,1897491,151,8000000
9.23,78,1024,100,1706896800,6.71,309,2024-02-02 19:00:00,Vienna,1897491,151,8000000
10.0,73,1023,100,1706900400,15.2,294,2024-02-02 20:00:00,Vienna,1897491,151,8000000
10.11,69,1023,99,1706904000,10.28,317,2024-02-02 21:00:00,Vienna,1897491,151,8000000
10.56,68,1022,99,1706907600,15.2,316,2024-02-02 22:00:00,Vienna,1897491,151,8000000
10.67,66,1022,83,1706911200,18.33,340,2024-02-02 23:00:00,Vienna,1897491,151,8000000
10.74,65,1021,67,1706914800,16.09,321,2024-02-03 00:00:00,Vienna,1897491,151,8000000
10.97,64,1021,5,1706918400,15.65,305,2024-02-03 01:00:00,Vienna,1897491,151,8000000
10.35,66,1021,6,1706922000,12.07,342,2024-02-03 02:00:00,Vienna,1897491,151,8000000
10.17,69,1021,15,1706925600,12.52,310,2024-02-03 03:00:00,Vienna,1897491,151,8000000
9.59,75,1021,15,1706929200,12.96,323,2024-02-03 04:00:00,Vienna,1897491,151,8000000
9.4,72,1022,18,1706932800,9.83,327,2024-02-03 05:00:00,Vienna,1897491,151,8000000
8.84,73,1022,15,1706936400,9.39,330,2024-02-03 06:00:00,Vienna,1897491,151,8000000
8.86,73,1023,19,1706940000,9.39,339,2024-02-03 07:00:00,Vienna,1897491,151,8000000
9.06,71,1023,17,1706943600,8.94,328,2024-02-03 08:00:00,Vienna,1897491,151,8000000
9.57,64,1023,22,1706947200,12.96,327,2024-02-03 09:00:00,Vienna,1897491,151,8000000
10.2,66,1023,29,1706950800,13.41,301,2024-02-03 10:00:00,Vienna,1897491,151,8000000
10.88,66,1023,31,1706954400,14.31,350,2024-02-03 11:00:00,Vienna,1897491,151,8000000
11.24,66,1022,38,1706958000,13.41,298,2024-02-03 12:00:00,Vienna,1897491,151,8000000
11.25,69,1022,45,1706961600,21.46,325,2024-02-03 13:00:00,Vienna,1897491,151,8000000
11.5,69,1022,63,1706965200,19.67,301,2024-02-03 14:00:00,Vienna,1897491,151,8000000
11.66,67,1022,41,1706968800,16.99,316,2024-02-03 15:00:00,Vienna,1897491,151,8000000
11.5,66,1022,39,1706972400,16.09,306,2024-02-03 16:00:00,Vienna,1897491,151,8000000
11.49,68,1022,45,1706976000,10.28,313,2024-02-03 17:00:00,Vienna,1897491,151,8000000
11.38,75,1022,54,1706979600,10.73,290,2024-02-03 18:00:00,Vienna,1897491,151,8000000
10.89,77,1023,100,1706983200,11.18,309,2024-02-03 19:00:00,Vienna,1897491,151,8000000
10.76,77,1023,100,1706986800,12.07,323,2024-02-03 20:00:00,Vienna,1897491,151,8000000
10.61,78,1023,97,1706990400,8.49,297,2024-02-03 21:00:00,Vienna,1897491,151,8000000
10.13,82,1023,98,1706994000,9.83,304,2024-02-03 22:00:00,Vienna,1897491,151,8000000
9.57,87,1022,99,1706997600,9.39,310,2024-02-03 23:00:00,Vienna,1897491,151,8000000
9.57,86,1022,99,1707001200,8.49,313,2024-02-04 00:00:00,Vienna,1897491,151,8000000
9.65,85,1021,100,1707004800,9.83,316,2024-02-04 01:00:00,Vienna,1897491,151,8000000
9.75,85,1021,100,1707008400,5.81,308,2024-02-04 02:00:00,Vienna,1897491,151,8000000
9.08,91,1021,100,1707012000,12.07,325,2024-02-04 03:00:00,Vienna,1897491,151,8000000
8.6,92,1021,100,1707015600,6.71,306,2024-02-04 04:00:00,Vienna,1897491,151,8000000
9.01,91,1021,100,1707019200,4.92,325,2024-02-04 05:00:00,Vienna,1897491,151,8000000
9.12,89,1020,100,1707022800,6.71,295,2024-02-04 06:00:00,Vienna,1897491,151,8000000
9.12,88,1021,100,1707026400,8.05,296,2024-02-04 07:00:00,Vienna,1897491,151,8000000
9.19,86,1022,100,1707030000,7.15,300,2024-02-04 08:00:00,Vienna,1897491,151,8000000
9.77,85,1022,70,1707033600,12.07,334,2024-02-04 09:00:00,Vienna,1897491,151,8000000
10.54,83,1021,80,1707037200,12.96,321,2024-02-04 10:00:00,Vienna,1897491,151,8000000
11.14,82,1020,85,1707040800,9.83,326,2024-02-04 11:00:00,Vienna,1897491,151,8000000
11.12,81,1019,88,1707044400,12.96,319,2024-02-04 12:00:00,Vienna,1897491,151,8000000
10.89,84,1019,98,1707048000,16.99,316,2024-02-04 13:00:00,Vienna,1897491,151,8000000
10.89,83,1018,97,1707051600,15.2,286,2024-02-04 14:00:00,Vienna,1897491,151,8000000
10.98,82,1018,96,1707055200,14.75,329,2024-02-04 15:00:00,Vienna,1897491,151,8000000
11.0,82,1018,96,1707058800,15.2,298,2024-02-04 16:00:00,Vienna,1897491,151,8000000
10.94,78,1018,97,1707062400,15.2,4,2024-02-04 17:00:00,Vienna,1897491,151,8000000
11.0,81,1018,97,1707066000,18.33,308,2024-02-04 18:00:00,Vienna,1897491,151,8000000
11.49,81,1018,100,1707069600,18.78,319,2024-02-04 19:00:00,Vienna,1897491,151,8000000
11.14,83,1018,100,1707073200,17.88,317,2024-02-04 20:00:00,Vienna,1897491,151,8000000
11.56,82,1017,100,1707076800,15.2,339,2024-02-04 21:00:00,Vienna,1897491,151,8000000
10.59,89,1016,100,1707080400,13.41,314,2024-02-04 22:00:00,Vienna,1897491,151,8000000
10.88,88,1016,100,1707084000,19.67,321,2024-02-04 23:00:00,Vienna,1897491,151,8000000
10.77,90,1015,100,1707087600,16.09,314,2024-02-05 00:00:00,Vienna,1897491,151,8000000
11.5,84,1014,100,1707091200,24.59,304,2024-02-05 01:00:00,Vienna,1897491,151,8000000
11.88,80,1014,100,1707094800,20.56,313,2024-02-05 02:00:00,Vienna,1897491,151,8000000
12.22,79,1013,100,1707098400,21.9,326,2024-02-05 03:00:00,Vienna,1897491,151,8000000
12.11,79,1012,100,1707102000,25.93,308,2024-02-05 04:00:00,Vienna,1897491,151,8000000
11.56,79,1013,100,1707105600,20.56,297,2024-02-05 05:00:00,Vienna,1897491,151,8000000
11.46,79,1014,100,1707109200,19.22,309,2024-02-05 06:00:00,Vienna,1897491,151,8000000
11.35,80,1015,97,1707112800,17.43,322,2024-02-05 07:00:00,Vienna,1897491,151,8000000
11.35,79,1015,100,1707116400,6.26,299,2024-02-05 08:00:00,Vienna,1897491,151,8000000
11.5,72,1016,100,1707120000,8.05,280,2024-02-05 09:00:00,Vienna,1897491,151,8000000
11.93,75,1017,98,1707123600,11.62,319,2024-02-05 10:00:00,Vienna,1897491,151,8000000
12.36,64,1017,88,1707127200,16.54,352,2024-02-05 11:00:00,Vienna,1897491,151,8000000
12.67,63,1017,85,1707130800,16.99,317,2024-02-05 12:00:00,Vienna,1897491,151,8000000
13.0,68,1017,59,1707134400,15.2,318,2024-02-05 13:00:00,Vienna,1897491,151,8000000
13.52,66,1016,68,1707138000,13.41,306,2024-02-05 14:00:00,Vienna,1897491,151,8000000
13.52,66,1016,64,1707141600,9.83,288,2024-02-05 15:00:00,Vienna,1897491,151,8000000
13.42,66,1016,65,1707145200,15.65,300,2024-02-05 16:00:00,Vienna,1897491,151,8000000
12.87,65,1016,72,1707148800,13.86,313,2024-02-05 17:00:00,Vienna,1897491,151,8000000
12.87,65,1016,78,1707152400,8.49,340,2024-02-05 18:00:00,Vienna,1897491,151,8000000
12.78,66,1016,98,1707156000,8.05,329,2024-02-05 19:00:00,Vienna,1897491,151,8000000
12.74,65,1016,97,1707159600,3.13,355,2024-02-05 20:00:00,Vienna,1897491,151,8000000
13.15,64,1016,95,1707163200,7.15,331,2024-02-05 21:00:00,Vienna,1897491,151,8000000
13.08,64,1016,94,1707166800,4.47,329,2024-02-05 22:00:00,Vienna,1897491,151,8000000
13.06,62,1017,94,1707170400,7.15,323,2024-02-05 23:00:00,Vienna,1897491,151,8000000
13.15,58,1016,96,1707174000,6.71,311,2024-02-06 00:00:00,Vienna,1897491,151,8000000
13.18,54,1016,100,1707177600,5.36,311,2024-02-06 01:00:00,Vienna,1897491,151,8000000
13.22,54,1015,100,1707181200,8.94,318,2024-02-06 02:00:00,Vienna,1897491,151,8000000
13.26,53,1014,97,1707184800,5.36,274,2024-02-06 03:00:00,Vienna,1897491,151,8000000
13.28,54,1014,95,1707188400,6.71,286,2024-02-06 04:00:00,Vienna,1897491,151,8000000
13.33,52,1014,95,1707192000,9.39,296,2024-02-06 05:00:00,Vienna,1897491,151,8000000
13.39,41,1013,96,1707195600,9.39,292,2024-02-06 06:00:00,Vienna,1897491,151,8000000
12.32,51,1013,100,1707199200,1.79,75,2024-02-06 07:00:00,Vienna,1897491,151,8000000
10.32,51,1016,100,1707202800,7.94,271,2024-02-06 08:00:00,Vienna,1897491,151,8000000
13.49,40,1014,100,1707206400,4.92,280,2024-02-06 09:00:00,Vienna,1897491,151,8000000
13.15,46,1014,100,1707210000,10.73,311,2024-02-06 10:00:00,Vienna,1897491,151,8000000
12.6,47,1014,100,1707213600,8.49,328,2024-02-06 11:00:00,Vienna,1897491,151,8000000
12.59,56,1014,100,1707217200,14.75,342,2024-02-06 12:00:00,Vienna,1897491,151,8000000
12.94,58,1014,100,1707220800,16.54,334,2024-02-06 13:00:00,Vienna,1897491,151,8000000
12.45,59,1014,100,1707224400,13.86,325,2024-02-06 14:00:00,Vienna,1897491,151,8000000
11.82,63,1014,100,1707228000,12.07,357,2024-02-06 15:00:00,Vienna,1897491,151,8000000
11.38,65,1013,100,1707231600,14.75,321,2024-02-06 16:00:00,Vienna,1897491,151,8000000
11.17,67,1013,100,1707235200,12.07,307,2024-02-06 17:00:00,Vienna,1897491,151,8000000
11.14,68,1014,100,1707238800,11.18,321,2024-02-06 18:00:00,Vienna,1897491,151,8000000
10.72,69,1014,96,1707242400,10.73,305,2024-02-06 19:00:00,Vienna,1897491,151,8000000
10.61,69,1013,95,1707246000,6.71,315,2024-02-06 20:00:00,Vienna,1897491,151,8000000
10.72,69,1013,92,1707249600,4.02,321,2024-02-06 21:00:00,Vienna,1897491,151,8000000
10.72,68,1013,89,1707253200,3.13,313,2024-02-06 22:00:00,Vienna,1897491,151,8000000
9.65,75,1013,89,1707256800,3.13,295,2024-02-06 23:00:00,Vienna,1897491,151,8000000
9.65,75,1012,90,1707260400,1.79,301,2024-02-07 00:00:00,Vienna,1897491,151,8000000
9.46,74,1012,47,1707264000,1.34,42,2024-02-07 01:00:00,Vienna,1897491,151,8000000
10.38,66,1011,52,1707267600,1.79,256,2024-02-07 02:00:00,Vienna,1897491,151,8000000
10.01,67,1011,38,1707271200,2.24,304,2024-02-07 03:00:00,Vienna,1897491,151,8000000
9.11,75,1010,33,1707274800,5.36,302,2024-02-07 04:00:00,Vienna,1897491,151,8000000
10.21,68,1010,34,1707278400,4.02,304,2024-02-07 05:00:00,Vienna,1897491,151,8000000
10.1,69,1009,33,1707282000,3.58,300,2024-02-07 06:00:00,Vienna,1897491,151,8000000
10.28,68,1009,39,1707285600,4.92,261,2024-02-07 07:00:00,Vienna,1897491,151,8000000
10.98,67,1008,88,1707289200,5.36,311,2024-02-07 08:00:00,Vienna,1897491,151,8000000
11.63,56,1008,88,1707292800,8.49,302,2024-02-07 09:00:00,Vienna,1897491,151,8000000
12.11,63,1008,89,1707296400,13.86,309,2024-02-07 10:00:00,Vienna,1897491,151,8000000
12.31,63,1008,90,1707300000,12.96,260,2024-02-07 11:00:00,Vienna,1897491,151,8000000
