temp,humidity,pressure,clouds,dt,wind_speed,wind_deg,day,city,population,elevation,annual_tourists
4.54,80,1029,48,1706832000,0.24,123,2024-02-02 01:00:00,Zagreb,792875,122,2000000
4.4,82,1030,69,1706835600,0.24,42,2024-02-02 02:00:00,Zagreb,792875,122,2000000
4.95,80,1030,85,1706839200,0.16,310,2024-02-02 03:00:00,Zagreb,792875,122,2000000
4.96,82,1030,90,1706842800,0.34,88,2024-02-02 04:00:00,Zagreb,792875,122,2000000
4.89,84,1030,92,1706846400,0.97,87,2024-02-02 05:00:00,Zagreb,792875,122,2000000
4.8,85,1031,94,1706850000,1.17,100,2024-02-02 06:00:00,Zagreb,792875,122,2000000
4.8,88,1031,100,1706853600,1.09,110,2024-02-02 07:00:00,Zagreb,792875,122,2000000
4.85,89,1032,100,1706857200,0.96,152,2024-02-02 08:00:00,Zagreb,792875,122,2000000
5.02,88,1032,100,1706860800,0.86,168,2024-02-02 09:00:00,Zagreb,792875,122,2000000
5.23,87,1032,100,1706864400,0.95,196,2024-02-02 10:00:00,Zagreb,792875,122,2000000
5.63,84,1033,100,1706868000,0.99,200,2024-02-02 11:00:00,Zagreb,792875,122,2000000
9.82,57,1031,20,1706871600,1.03,0,2024-02-02 12:00:00,Zagreb,792875,122,2000000
10.82,54,1030,20,1706875200,1.54,140,2024-02-02 13:00:00,Zagreb,792875,122,2000000
10.82,50,1030,20,1706878800,2.06,0,2024-02-02 14:00:00,Zagreb,792875,122,2000000
11.05,54,1029,0,1706882400,2.06,230,2024-02-02 15:00:00,Zagreb,792875,122,2000000
10.5,56,1029,0,1706886000,2.57,210,2024-02-02 16:00:00,Zagreb,792875,122,2000000
9.94,56,1028,0,1706889600,1.03,210,2024-02-02 17:00:00,Zagreb,792875,122,2000000
6.82,65,1029,0,1706893200,1.03,140,2024-02-02 18:00:00,Zagreb,792875,122,2000000
9.38,58,1028,0,1706896800,1.54,160,2024-02-02 19:00:00,Zagreb,792875,122,2000000
8.83,65,1028,0,1706900400,1.03,170,2024-02-02 20:00:00,Zagreb,792875,122,2000000
8.83,66,1028,0,1706904000,0.51,0,2024-02-02 21:00:00,Zagreb,792875,122,2000000
8.27,67,1027,0,1706907600,0.0,0,2024-02-02 22:00:00,Zagreb,792875,122,2000000
7.72,69,1026,0,1706911200,0.51,180,2024-02-02 23:00:00,Zagreb,792875,122,2000000
6.05,73,1026,0,1706914800,1.54,190,2024-02-03 00:00:00,Zagreb,792875,122,2000000
4.94,75,1025,0,1706918400,1.03,210,2024-02-03 01:00:00,Zagreb,792875,122,2000000
4.94,77,1025,0,1706922000,2.06,220,2024-02-03 02:00:00,Zagreb,792875,122,2000000
4.38,78,1024,0,1706925600,1.03,250,2024-02-03 03:00:00,Zagreb,792875,122,2000000
4.38,78,1023,0,1706929200,3.09,250,2024-02-03 04:00:00,Zagreb,792875,122,2000000
3.27,81,1023,0,1706932800,2.06,220,2024-02-03 05:00:00,Zagreb,792875,122,2000000
3.27,80,1023,0,1706936400,2.57,220,2024-02-03 06:00:00,Zagreb,792875,122,2000000
3.27,79,1023,0,1706940000,2.57,220,2024-02-03 07:00:00,Zagreb,792875,122,2000000
4.94,74,1023,0,1706943600,4.12,230,2024-02-03 08:00:00,Zagreb,792875,122,2000000
8.27,62,1023,0,1706947200,3.09,230,2024-02-03 09:00:00,Zagreb,792875,122,2000000
8.82,61,1024,0,1706950800,3.6,240,2024-02-03 10:00:00,Zagreb,792875,122,2000000
11.82,54,1024,0,1706954400,3.09,230,2024-02-03 11:00:00,Zagreb,792875,122,2000000
12.82,50,1024,0,1706958000,2.57,240,2024-02-03 12:00:00,Zagreb,792875,122,2000000
13.82,47,1023,0,1706961600,0.51,0,2024-02-03 13:00:00,Zagreb,792875,122,2000000
14.94,46,1022,0,1706965200,1.54,100,2024-02-03 14:00:00,Zagreb,792875,122,2000000
13.83,49,1022,0,1706968800,1.54,80,2024-02-03 15:00:00,Zagreb,792875,122,2000000
12.72,53,1022,0,1706972400,1.03,50,2024-02-03 16:00:00,Zagreb,792875,122,2000000
12.16,55,1022,0,1706976000,1.54,30,2024-02-03 17:00:00,Zagreb,792875,122,2000000
11.05,59,1022,0,1706979600,0.51,360,2024-02-03 18:00:00,Zagreb,792875,122,2000000
9.94,64,1023,0,1706983200,1.54,230,2024-02-03 19:00:00,Zagreb,792875,122,2000000
9.38,67,1023,0,1706986800,0.51,270,2024-02-03 20:00:00,Zagreb,792875,122,2000000
8.83,69,1023,0,1706990400,1.54,200,2024-02-03 21:00:00,Zagreb,792875,122,2000000
8.83,71,1023,0,1706994000,0.51,40,2024-02-03 22:00:00,Zagreb,792875,122,2000000
8.27,72,1023,0,1706997600,0.51,0,2024-02-03 23:00:00,Zagreb,792875,122,2000000
7.16,74,1023,0,1707001200,1.03,0,2024-02-04 00:00:00,Zagreb,792875,122,2000000
7.16,74,1023,0,1707004800,2.06,240,2024-02-04 01:00:00,Zagreb,792875,122,2000000
6.61,75,1022,0,1707008400,1.03,0,2024-02-04 02:00:00,Zagreb,792875,122,2000000
6.61,76,1022,0,1707012000,0.51,0,2024-02-04 03:00:00,Zagreb,792875,122,2000000
5.5,77,1021,0,1707015600,1.54,230,2024-02-04 04:00:00,Zagreb,792875,122,2000000
4.94,79,1021,0,1707019200,0.0,0,2024-02-04 05:00:00,Zagreb,792875,122,2000000
4.94,79,1021,0,1707022800,2.57,250,2024-02-04 06:00:00,Zagreb,792875,122,2000000
4.38,81,1022,0,1707026400,1.54,350,2024-02-04 07:00:00,Zagreb,792875,122,2000000
4.38,81,1022,0,1707030000,1.03,40,2024-02-04 08:00:00,Zagreb,792875,122,2000000
6.61,75,1023,0,1707033600,1.03,0,2024-02-04 09:00:00,Zagreb,792875,122,2000000
8.83,66,1023,0,1707037200,0.51,0,2024-02-04 10:00:00,Zagreb,792875,122,2000000
8.83,69,1023,0,1707040800,1.03,0,2024-02-04 11:00:00,Zagreb,792875,122,2000000
11.05,63,1023,0,1707044400,0.51,0,2024-02-04 12:00:00,Zagreb,792875,122,2000000
13.83,54,1022,0,1707048000,1.54,290,2024-02-04 13:00:00,Zagreb,792875,122,2000000
15.5,47,1021,0,1707051600,2.06,280,2024-02-04 14:00:00,Zagreb,792875,122,2000000
15.5,45,1020,0,1707055200,1.54,310,2024-02-04 15:00:00,Zagreb,792875,122,2000000
14.94,46,1020,0,1707058800,0.0,0,2024-02-04 16:00:00,Zagreb,792875,122,2000000
12.82,50,1020,0,1707062400,0.51,120,2024-02-04 17:00:00,Zagreb,792875,122,2000000
12.16,57,1020,0,1707066000,0.0,0,2024-02-04 18:00:00,Zagreb,792875,122,2000000
9.94,63,1020,0,1707069600,1.03,160,2024-02-04 19:00:00,Zagreb,792875,122,2000000
9.38,67,1019,0,1707073200,1.03,250,2024-02-04 20:00:00,Zagreb,792875,122,2000000
8.83,68,1019,0,1707076800,1.54,220,2024-02-04 21:00:00,Zagreb,792875,122,2000000
7.72,72,1019,0,1707080400,2.06,230,2024-02-04 22:00:00,Zagreb,792875,122,2000000
7.72,73,1019,0,1707084000,3.6,250,2024-02-04 23:00:00,Zagreb,792875,122,2000000
8.83,68,1019,0,1707087600,3.6,240,2024-02-05 00:00:00,Zagreb,792875,122,2000000
6.82,70,1019,0,1707091200,4.12,250,2024-02-05 01:00:00,Zagreb,792875,122,2000000
8.83,64,1018,0,1707094800,3.09,210,2024-02-05 02:00:00,Zagreb,792875,122,2000000
5.82,70,1018,0,1707098400,3.6,240,2024-02-05 03:00:00,Zagreb,792875,122,2000000
4.82,75,1018,0,1707102000,4.12,240,2024-02-05 04:00:00,Zagreb,792875,122,2000000
4.82,75,1018,0,1707105600,3.6,240,2024-02-05 05:00:00,Zagreb,792875,122,2000000
9.38,68,1018,0,1707109200,3.6,260,2024-02-05 06:00:00,Zagreb,792875,122,2000000
5.82,75,1018,0,1707112800,2.57,210,2024-02-05 07:00:00,Zagreb,792875,122,2000000
4.82,81,1019,0,1707116400,2.06,220,2024-02-05 08:00:00,Zagreb,792875,122,2000000
6.82,76,1019,0,1707120000,3.09,220,2024-02-05 09:00:00,Zagreb,792875,122,2000000
